Species,img_url_flowers
Acanthus mollis,https://bs.floristic.org/image/o/918117b90cf98248a5ed526a0dfbc842fdbb91e6
Alisma plantago-aquatica,https://bs.floristic.org/image/o/e86baa12394c70dcce04b1da61d93e9cfcab6292
Anacamptis pyramidalis,https://bs.floristic.org/image/o/5560493359adba81950bd97fa635bf8a9b77b6cf
Antirrhinum majus,https://bs.floristic.org/image/o/61b23f3cff9a03fd1a068ed6f21f476def099580
Arbutus unedo,https://bs.floristic.org/image/o/b0f0055720ca837b2eb57c52c6e54c8bb04b6e6a
Argentina anserina,https://bs.floristic.org/image/o/efc2561f0bb1bc4953a48f54cf9608fbda8e982b
Athyrium filix-femina,https://bs.floristic.org/image/o/74be96f027b9718fc8a5b0e06733f2d5c44bf63d
Begonia evansiana ,https://bs.floristic.org/image/o/77324de3bdb8c4824d443a2168b6ebff8f4412a3
Bougainvillea glabra,https://bs.floristic.org/image/o/7e8f5d90d771778e4e668fa337b617c90deb7865
Brugmansia suaveolens,https://bs.floristic.org/image/o/2a7acd0c1de67a29e99c6b50517677ae8a20eebd
Bryonia cretica   ,https://bs.floristic.org/image/o/2547d825cf265e4e805cd3a7e946580a5fd4b661
Carpobrotus edulis,https://bs.floristic.org/image/o/a2867f3a5302756024b4607e5dd8593c184d7fe2
Castanea sativa,https://bs.floristic.org/image/o/47eb08a28a235f0f42e90aabb3c190aa6680c1df
Centaurium erythraea,https://bs.floristic.org/image/o/52ffaadcc57151881d121630d8f163decfa8f8b8
Cistus albidus,https://bs.floristic.org/image/o/7e9c947dea317044d96fe9479dc3e526aac036c6
Crocosmia Ã— crocosmiiflora,https://bs.floristic.org/image/o/7a7b5ec983a15787fbe976218ad9a54ab907cbcc
Deutzia scabra,https://bs.floristic.org/image/o/0f0f5ceec4345fa87095c484b31e3287a61202fb
Eucalyptus globulus,https://bs.floristic.org/image/o/636d7297a742e978c6f9f62ff3e257f9c8c277dc
Gunnera tinctoria  ,https://bs.floristic.org/image/o/3a8d88e16371d95b8b840ed183d09b11e7dfac72
Hypericum androsaemum,https://bs.floristic.org/image/o/b5a2f37bf77273109b550b9e32a7acc58d1f0b65
Lagerstroemia indica,https://bs.floristic.org/image/o/e189ad93148ff7f5875117e91f1caac1b6e358ec
Lilium bulbiferum,https://bs.floristic.org/image/o/c174c9c7a9c43a33afa03f26cf7c2c01310c4a9c
Magnolia grandiflora,https://bs.floristic.org/image/o/6df5874af030fb0e031751576c2a19876894fe7b
Nelumbo nucifera,https://bs.floristic.org/image/o/0c5fb3c9edd2cde7e8288da226a44c51ead5e846
Nymphaea alba,https://bs.floristic.org/image/o/844324c053458f24a7f6e38c3c2807aa620046f1